cleaned_stemmed,sentiment_prediction
komentar kecuali ungkap bahagia garuda memporak porandakan tahan arab saudi menang pertadingan scor,negative
indonesian alhamdulillah menang,positive
strategi sty nali karakter main lawan keeini libas cari menang,negative
full senyum nitezen nih,positive
trending liga bang rcti indosiar,positive
sty berani ganti struk gagal manfaat peluang peluang manfaat apa main ngegolin guna,negative
elianor main sih,positive
indonesia versus arab saudi dekor,positive
indonesia menang jumawa wajib benah salah main semangat timnas fokus,positive
amin timnas dpat nilai penuh,positive
hasil muas latih main dengar kritik dengar kritik puji,negative
iklan nutupin layar tipi gg kelas,positive
sisa match day mode serius pokok,positive
moga lawan australia menang iya,positive
riah merinding menang,positive
telpon argentina rematch ulang,negative
alkhamdulillah alkhamdulillah alkhamdulillah timnas indonesia kasih menang alloh swt versus arab saudi mudah langkah slajutnya timnas main sll mudah menang ntuk timnas indonesia semangat bravo timnasku,positive
go go go lbih,negative
andai,positive
tanggal,positive
makasih rcti,negative
tinggal tunggu lawan raja guling guling bahrain,negative
tau towel kritik,negative
keren timnas smga konsisten menang bawa poin penuh,positive
rcti nyiarin bola best panjang tv belah baik liga dangdut thank rcti oke oke,positive
rcti mantap gito,positive
live blokir,positive
anjaii diobok obok siijo,positive
congrats timnas semangat nyala,positive
lawan jepang mewek bro,negative
rido marcelino mantan main baya surabaya timnas sty lanjut baya surabaya semangat klub indonesia cipta main kelas asia dunia,positive
nyangka timnas indonesia level lawan thailand pilipin vietnam malay singapur udah kayak tanding hidup mati lawan aussy china arab yakin menang timnas naek level,negative
main besar baya punggung,positive
malam nonton full tanding nnton highlight,positive
alhamdulillah stop hujat main lokal naturalisasi juang lapang garuda dada negara cinta indonesia manang kalah dukung,positive
gila tatap si justin hubner wasit pas dapet kartu kuning makan orang sergio ramos indonesia,negative
main bagus keren berjusng keras menang bravo indonesia bravo garuda,positive
lino cocok false nine kayak,negative
menang pertamax,positive
pimpin erik tohir timnas bangga yaa allah sehat erik tohir amin,positive
telat peluit,negative
marselinonadio,positive
marcel goll,positive
pas lawan jepang sintya young mainin marcelino gol gawang japan kevin diks combo marcelino,positive
nyala garuda quh,negative
bnyak peluang indonesia,positive
kemarin jelek timnas kalah kmn dasar sporter kelas teri ecek ecek sdm rendah,negative
permainanya indah eropa,positive
tom haye emng otak iya,negative
selebrasi tengil iya,positive
lapang kali main ancur aneeh negeri,positive
komentator petr drury kahh ahaaii,positive
semugataindonesiamenag,positive
bangga deh kerjasama team tahan iya,positive
disabilitas tunanetra nikmat terbang timnas ku piala dunia,positive
main nampak motivasi tanding bangga lihat juang main indonesia tinggal tunggu konsistensi laga krusial harap main jaga konsistensi bekuk australia kandang forza garuda,positive
trending gaiss,positive
el gacor bin stabil loopy verdonk,negative
marselino fire,positive
guling bahrain gbk,negative
marcelino bangga,positive
si wasit ahmed al kahf part untung indo unggul,positive
bjir tidur pas half time,positive
selamat timnas official,positive
indonesia menang karna indonesia pakai jersey warna putih putih rel madrid merah pas lawan japan kalah merah master united coba pas lawan paki jersey warna putih menang banyakin oper bola lari,negative
drama si saudi,positive
pasti towel senang,positive
kali marcelino hujat kemarin hujat habis jilat gila,negative
main arab manja gol marselino gol indah protes babak jadi dikit tendang sudut langsung ngemis penalti manja,negative
marselino hujat hina tau main nomor baik main ridho latih sty tau main kualitas indonesia batas main turut kualitas bagus ridho marselino khusus main indonesia,positive
tolong erik main rumput gbk bena main bagus sandy wals main bek sayap timnas menang draw sandy main bek sayap aktif cocok bek sayap kiri kanan verdonk sandy sandy ganti main amburadul menit,positive
indonesia main runner sih lolos piala dunia main iya,positive
tuh main saudi guling lembek banget kayak mendoan preett,negative
astungkarah timnas menang timnas jalan semangat dukung kalah menang,positive
towel ngumpet goa,negative
gacor kali marcelino,negative
verdonk layak jadi man match,positive
mantab timnas tahan moga lebay dangdut orang lebay timnas kalah,positive
nikmat tuhan engkau dusta,positive
gol marselino pas selebrasi camera cuy,positive
rumput hitam,negative
love yasser,positive
henti henti air mata titik indonesia menang,positive
wasit salah mesin cetak uang fifa,negative
added time menit semprit menit hadehh,positive
ngeri suporter indonesia aura garang hancurin mental musuh,negative
sayang marselino main lawan jepang,negative
alhaamdelelelelealhemdelelellelealhadelelelelele,positive
moga lolos pil dun,negative
percaya kabar rumput gbk ngasih tau,negative
yess bravo timnasky,positive
pkai bju putih ae,neutral
penemptn marselino bola diarahkn bola diarahkn marselino sllu berda pd posisi kosong mka gol indonesia akn smkin,negative
tunggu bahrain,positive
pasti,positive
congratulations bangga team national indonesia senior bsa raih menang poin eliano da squat team national indonesia nama,positive
terbang garudakuu,positive
inget banget brp timnas babat suadi kiper hendro kartiko swediih liat mamam tuh suadi,negative
alhdulillah timnas baik lapang buruk mesti menang,negative
kritik ikut,negative
menang timnas belanda masak kalah saudi,positive
alloh subhana wa ta ala bantu timnas menang,positive
koko justin gimana justin,positive
indonesia pake baju putih rasuk real madrid pake baju merah rasuk myu,negative
marselino surabaya striker lokal gurih ketimbang alot,positive
gol cetak main satu produk lokal,positive
arti lucu,positive
indonesia butuh striker,positive
tuah jersey putih semangat pantang serah main timnas,positive
sty main indra safri ngandalin serang lari cepat sayap,positive
kecewa main indonesia kartu merah janga pisik skil gembleng mental spiritual main milik temperamental jaya nkri jaya timnas indonesia moga allah azza wajalla meridhohi kah sehat wa afiat baarakallhu fiikum,negative
arab saudi kalah kali baalawi senang baalawi yaman musuh arab saudi marselino kasih nama baabun baalawi kalah kali menu makan tim arab saudi indonesia ubah daging onta daging ayam makan pengaruh perilaku somad,positive
bahrain versus australia draw peluang lndonesia buka lolos piala dunia moga sisa tanding indonesia menang,positive
sandy wals mode beckham,positive
alhamdulillah menang next lawan ausie minimal imbang menang lawan bahraim china lolos langsung pildun,positive
timnas unggul arab drama ciderai kecuali drama langgar,positive
gooll oh gooll,positive
lihat kali arab chek var indonesia cek var var tim timur cukk,positive
tunggu bahrain indonesia,positive
selamat indonesia tunjuk semangat,positive
justin hubner wak haji oeratmangun absen versus australia maret pesan netizen khusus hubner tolong preman rugi tim hubner hrs sabar mudah pancing emosi tahniah timnas indonesia,positive
benci sty bikin baperan kadang bikin kecewa kadang bikin hati senang penuh harap pokok tahan sty tunggu kejut percaya beliau,negative
alhamdulillah tuhan zridzohi indonesia menang,positive
sepi tonton,negative
menang puji kalah caci,negative
indonesia main bangga menang,positive
indonesia semangat juang lawan jepang salah males malesan,negative
tanah suci kalah tanah air forza garuda,negative
gacor lgi masuk angin iya lahh,negative
timnas kalah arab saudi sebelummya,negative
terima kasih kado ulang indah,positive
keren gol marchelino gerak tipu,positive
tahniah garuda im malaydesh,positive
alhamdulillah menang jaya sepak bola indonesia,positive
tolong justin hubner kasih wejang kayak gitu ngerugiin tim untung red card menit menit,positive
kaos tim warna putih motivasi main tenang tarung lapang hijau,positive
gilir kaga nonton pis eh menang hadeuh,negative
main naturalisasi masukin mah orang orang asli indonesia,positive
kemaren ferdinan dimasukin bagus,positive
arab momen kasih wasit loh tetep kalah indo terbang garuda diem semangat,positive
indonesia hrus lolos piala dunia,positive
oratmangun mandul,negative
shiiuui,positive
emang mantab tom haye kaya kdb,positive
alhamdulillaah timnas indonesia menang lawan arab saudi,positive
wasit panik meit king indo masuk lemparin batu kandang kng indo gbk,negative
percaya timnas pake jersey putih untung melulu jersey putih bawa untung moga hnya mitos main bagus,positive
afc hebat tinggal ngalahin jepang,positive
tenang marcelino luarbiasa,positive
gila si,negative
bukti orang ntt harum nkri bravo marselino bravo ntt bravo timnas,positive
josht,positive
calvin verdonk jai idzes main terima kasih,positive
bait lagu tanah air hilang,negative
sumpah malam tanding sujud syukur saking senang indonesia menang terima kasih timnas indonesia dukung jalur langit laku terbang garuda merah putih pertiwi,positive
suara komentator,positive
komentator dramatis,positive
komentator hibur,positive
verdonk stamina edit emang lawan verdonk main sosmed fokus timnas semogaa verdonk cepat ketemu ayah aamiin,positive
goal mf salah goal main japan gera eco lawan tendang goal ajar gera tendang bola sungguh tipu tendang beneran mf,negative
alhamdulillah moga indonesia finis,positive
makas garuda main tingkat aung lawan kuat ayo semangat allhamdulillah menang,positive
arab pulang bareng jamaah umroh,negative
menang bolak nonton iya,positive
manyala abang,positive
orang flores beda na bikin sejarah timnas,negative
ketemu ramadhan besok,positive
alhamdulillah maturnuwun gusti,positive
alhamdulillah trimakasih timnas indonesia baik indonesia,positive
hubner bagus banget kudu hati hati wasit arab kartu merah menit,positive
verdonk gila anjir pincang pincang lari serang arab tusuk dka mamlj patah sesuai statment mati menang harga mati verdonk main btw komentator ganti sih bosen,negative
verdonk gacor,negative
bener nama rcti oke,positive
coba tendang verdonk gol passti gol ciamikk,negative
menang sanjung kalah hujat,negative
jersey putih tel kalah,negative
suka nyinyirin indo minggir,positive
bang sandy verdonk joss,positive
calvin verdonk udah kayak marcello real madrid moga indonesia lolos piala dunia aminn,positive
woy justin tau idolain sergio ramos tolong dapet kartu mulu,positive
verdonk mode profesional buai medsos banting tulang turun ambil bola,negative
orang bodoh sty,negative
alhamdulillah menang jaga asa tampil babak apresiasi tampil luarbiasa marselinoo man match malam marselino ferdinan,positive
strukck mutu,negative
optimis selesai tanding hasil maksimal,positive
marselino nyala,positive
kebanykn buang pluang,negative
tolong pas lawan bahrain bentrok suporter main ramadhan hina laga tandang kesini dilupakankan hina intimidasi kesini dosa buka puasa hina hina curang sbg bangsa juang junjung fair play,negative
pikir main asli indonesia tau negri,positive
alas knpa suka streaming komentator english,positive
ahamdulillah mhon sty striker moncer dech insya allah gacor,positive
tuju likenya main individu mainnkan cadang umur hidup,positive
jersey putih bener timnas hoki,positive
merdeka mantap,positive
kkeerreenn banget ehh coba gaya mai kaya gin lawan jepang kemarin,negative
mudah indonesia lolos piala dunia,positive
ntt ambon papua milik darah turun eropa milik darah main bola pssi ambi bibit anak anak muda provinsi,negative
uraa,positive
bolak hujat sty gimana asa iya mending pindah negara suka hujat,positive
ruf ngomong anjer audio ancur rusak rusak niy tv,negative
baju putih real madrid,negative
suma bina kelompok umur baya tim internal lahir main rizky ridho marcelino skills kalah main main eropa klub klub indonesia pssi berani contoh laku baya klub internal produksi main hebat tahun era rudy william keltjes aji santoso hendro kartiko uston nawawi eri irianto anang ruf era marselino rizky ridho bukti sistem youth baya main main kualitas,positive
terima kasih rcti selesai tanding tonton langsung iklan durasi mantap rcti oke,positive
ayo kembang garuda benah tanding depan berat yo ayo ayo indonesia,negative
moga sty nyadar melek ubah formasi fatal bkin main amburadul padu,negative
momen sejarah moga titik timnas prestasi,positive
mending kasih kuning pdhal merah protes,negative
gimana menang sorak sorai donk dukung sll kalah menang hujat kalah mrk juang mati mati tenaga taktik hilang sifat egois dukung timnas dukung dukung sll mrk semangat tekan ok ego nyinyir sok juang korban ayo ayo dukung garuda langlang buana pas menang ramai pas kalah ramai ramai hujat pokok garuda langlang buana anak negri indonesia semangat jdlah dukung sejati,positive
garuda bangga pada thank effort doa sukses garuda,positive
hebat marcelino,positive
selamat timnas,positive
terbang garuda ku jaya indonesia ku mantap timnas ku,positive
sty mohon rubah main jadi biar main padu main turun ok marselino witan bakat sendiri sekil bagus main menurutq,positive
komentator asuh,negative
doa,positive
indonesia raksasa asia,positive
mantap indonesia nol lawan timnas arab saudi,positive
butuh cf stiker gacor selesai minimal,negative
lebay banget komentator,negative
pesan sih indonesia besut sty emang cocok mode serang formasi tekan serang banding mode tahan bobol kaya jiwa raga main pola indonesia masuk piala dunia sty blunder turun main marselino gol kelas gol gaya tipu cuk gawang main profesional percaya dewasa marselino salah perna bayar lawan arab saudi main eliano marcelino oratmangun lini bom bardir formasi sukses gol banding bobol,positive
ragnar struick bosan,negative
komentator tinggi,positive
sekian puluh indonesia kalah arab saudi,negative
kudu eleh heula peurih,negative
nikmat tuhan dusta,positive
semangat timnas moga slalu sukses menang menang alhamdulillah alhamdulillah,positive
justin mentah banget emosi syang skali,negative
gratis umroh karna menang hihi,positive
hebat rizky ridho,positive
main gin tahan bagus past menang rubah gonta ganti strategi,positive
puji tuhan haleluyah,positive
alhamdulillah timnas indonesia menang saudi arabia semangat kompak tanding menang piala dunia amiin,positive
mantap peluang indonesia,positive
striker tajam striker ole gol,positive
highlight menit rcti sehat,positive
maju garuda,positive
sty eliano main grade naturalisasi main aneh latih konflik main kualitas elkan bagot skrg selesai eliano eliano naturalisasi bagus bodoh latih udah ganti nih latih main yacob arhan paksa nampaknya msh main main titip nih timnas bukti hori caraka msh bawa bawa,negative
king saudi al buayhi king saudi tumbang skuad garuda bang verdonk thank skuad garuda juang militan bahrain skuad garuda bantai,negative
sang garuda bangkit tidur,negative
keren timnas viralkan dapat,positive
lucu iya anti lokal menang main lokal marcelino cetak gol puji sin tae yong gilir kalah salah main kocak tau terima kasih main lokal hina main lokal menang berkat main lokal sanjung latih sty,negative
moga indonesia hancur bahrain hancur arab saudi,negative
solid latih ganti hasil kerja keras skill main,positive
bagus banget main timnas statistik kalah hasil menang,positive
menang kalah syukur sabar,negative
alhamdulillah indonesia menang lawan arab saudi,positive
nonton nang saking bangga,negative
doang main murni indo parah bet hey main indo skill biar masuk timnas,negative
habis latih jepang indo gacor,positive
kemarin bang kolom komentar tiada,neutral
mancini said makan tuh peringkat mending imbang,positive
siiuu,positive
timnas indonesia lantang ku nyanyi menang hoo hoo hoo hoo,positive
greget anjir kondisi lapang,negative
alhamdulillah thanks main latih official rcti,positive
jijik lihat arab dikit cek var,negative
koyok kandang sapi,positive
farael latih mental cetak gol banget keaempatan selesai,negative
moga menang indonesia perintah arab saudi kurang kuota ibadah haji umroh,negative
calvin verdong stamina gila atack main sayap def marcelo asist keren verdong,negative
marsel main bagus malam bagus verdonk debut main stabil tingkat,positive
langsung lihat,positive
alhamdulillah modal laga laga semangat garuda,positive
rcti mnc group daerah pandeglang susah nangkap siar indosiar sctv gampang saran nii kali siar timnas pindah siar biar nonton timnas,negative
marcelino mantap,positive
sejarah juang bangsa percaya proses congrats timnas indonesia,positive
llwll llp,positive
selamat peluang emas buang hrs mjd evaluasi depan spy tenang jepang,positive
hahaha marcelino main bagus nilai nilai orang orang gau main bola jaya indonesia ku,positive
el preman kartu merah iya bnar perjuangn jussa moga konsisten sisa laga hsil positif anggp ja lawan king terakhr jepang sbg undi hadiah nyala garuda,positive
hshshsg,positive
bilang nasionalis,positive
point timnas belanda bohongin bahrain,negative
menang sanjung kalah hujat ups,negative
good job jumawa jalan fokus hadap china bahrain kandang lawan aussie keteter,positive
gitu diancem ubah diksh luang leha leha santai pas tinggal dikit kaya masuk kodam sat set,negative
puji tuhan indonesia praise lord good job marselino garuda,positive
bahrain cina sya ykin poin jaya jaya jaya,positive
harus blaster indonesia masuk piala dunia lokal doang,positive
alhamdulillah iya allah terima kasih iya allah,positive
arab skil guling,positive
oratmangon tlg pakai kasih bangku cadang,positive
kompetator lebay norak,negative
stiker murni gol indonesia,positive
sial king indo tonton imbang seri sekali tonton sakit menang cik,negative
maknyus main tim inti kompak solid krenyes main tinggal main ganti kualitas benah,negative
suara orang orang suka ngejelekin main lokal marcelino wak evan mas dkk,positive
good job rcti gaspoll,positive
madiun sinyal rcti parah haduuhh nonton hny siar ulang youtube,negative
ok rcti match tayang indonesia,positive
percaya pegang anda sty pecat prmainan timnas tdak bagus depa,positive
rip rumput ternak makan rumput layak,negative
pormasi paten jaya garuda ku trbnglh gempar dunia tunjukn sbnrnya,negative
malu muji lino ngehujat kmrn gilir ngehujat malu hahaha,negative
bravo garuda cepat puas jalan selesai ayoo,positive
komentator picek,positive
verdonk kayak gattuso nafas badak,negative
sty turunin formasi maut tingkat dewa nyala sty,negative
jokowi kemaren pake kaos haye besok nonton jokowi pake baju marselino yaa ben maceng bangga baju dipake,negative
menang puji tuhan kalah bilng sty dasar fomo miris banget,negative
alhamdulillah alhamdulillah iya alloh,positive
kyanya mmng st bngt sih peluang buang,positive
laga pas ngeliat marselino jalan lorong msuk lapang mlam bktikan publik main bagus alhmdulilah mlam mlam marselino main pnuh semangat lari cpek salut marselino main muda bakat milik indonesia selamat indonesia menang lawan arab saudi,positive
mancini senyum pojok,positive
thanks calvin verdonk mantaap umpan indah tanding main full ngotot nyala tinmas semangat,positive
gusdur bilang becandanya indonesia masuk piala dunia tapo latih mata sipit bawa bola indonesia piala dunia betapa ngeri klaau timnas lolos pildun indonesia menang bareng,positive
marcelino gacor menang brace ubah posisi groul menang perdana idn,positive
kualitas lapang rugi indonesia,positive
kelas garuda,positive
selamat menang tim garuda fokus kejar poin menang laga,positive
lepas win luput kartu merah hubner ngeblok dmna main pda blom lolos wasalam beda cerita hubner ngorbanin red card,negative
om verdonk,negative
preman liga arab hadap indonesia melempem iya pdhal korban loh ronaldo messi son,negative
marselino ragnar gacoorr bangeett,positive
arab saudi bnyak drama,positive
arab lawan sembarang ngalahin argentina,negative
alhamdulillah mantap indonesia menang terima kasih rcti siar tanding,positive
jumawa indonesia menang lawan bahrain australia cina,positive
badan rafa otot,negative
bangga timnas lihat rumput rawat ato gimana tlong,negative
harap sty rubah komposisi main uji coba komposisi main biar komposisi main ok,positive
mantapp indonesia,positive
pandang enteng lawan cina,negative
gg el kursi,positive
marchelino kartu joker anjirr,negative
info bahrain imbang hadap australia,positive
gbk soldout animo nonton timnas,positive
tendang jarak garuda,positive
gooll eh gooll et dh,negative
gol gol gol marselino din keren bawa indonesia menang lawan arab saudi smoga timnas indonesia lolos piala dunia amin,positive
gin towel ngilang koar,negative
komentator suruh lebbay,negative
absen orang kaya,negative
rafael struick beberapakali peluang bom maksimal lawan australia struik istirahat ganti ole romeney duet marselino,negative
verdonk player match passing,positive
komentator norak sebut nama tuhan sembarang,negative
nonton full kosong duduk smg timnas lolos pildun,negative
habis gelap terbit terang kemaren hujat baper iya lihat indonesia menang lawan arab,negative
ayo timnas ttp fokus pd tanding depan hirau puji,positive
rumput bagus,positive
keren gool marcellino bintang muda indonesia titis ronaldo,positive
main arab suka diving malu,negative
bang jay riski luarbisa pokona mah duh,positive
kursi kosong,positive
kerja kompak timnas garuda menang timnas arab saudi tim garuda,positive
towel mana,positive
sepakbola satu bangsa bhineka tunggal ika,positive
untung tendang bebas main arab goal tiang selamat set,positive
wasit orang om,negative
pandang team sepak bola belah mata rasa rasa arabsaudi indonesia country,positive
tampil baik verdonk,positive
verdonk obat,negative
bacot sty,negative
emang gacor timnas indonesia pake jersey putih,negative
lihat timnas indo orang indo bjir,negative
ingat zikir pagi banyak istighfar banyak sedekah rutin baca al qur semangat tebar baik,positive
mantap smoga lolos minimal round,positive
menang puji kmrn lihat sosial media ytb bahas lawan china jepang lbh lihat keblkng lihat arah skrg hasil sejarah indonesia ngalahin arab,negative
alhamdulillah hasil muas sayang eliano main,positive
malam tidur nyenyak indonesia menang,positive
orang panatik politik serah mnang politik sadar sih jokowi nnton lngsung timnas banyak timnas menang jngan pakai jokowi jmpe orang indo takluk hhe,negative
bsok bls cina moga win poin biar lolos piala dunia gas garuda terbang,positive
botak yeyy,positive
sty gara pas lawan cina kalah gara coba lawan jepang bantai lawan jepang wajar sih negara kalahin kualitas imbang main serius menang,negative
main marselino lini solid,positive
moga lawan bahrain china menang,positive
si hubner kena kartu merah,negative
haters marcelino hilang lane,negative
pake jersey merah langsung kalah seri jir,negative
eksekusi tenang mantap ferdinan,positive
good job timnas kerja bagus,positive
puji lino kritik main main perform hujat,negative
marselino terbang turun terbang turun,positive
terus proses timnasku,positive
gilaa pahlawan timnas indonesia kelas arab saudi bombardir siaang malam lanjut proses garuda ku,negative
less goo,neutral
tetep baher habibie,positive
mas sty suruh nonton spongebob,negative
komentator rcti ngak banget bagus komentator siar sport,positive
moga next match marselino kena star syndrome main egois ttp main sbgai tim jago,negative
rcti oke,positive
alhamdulillah mantapp,positive
alhamdulillah moga kuota haji rang iya gegara menang wwkwk,positive
matahari terbit cerah terang timnas indonesia garuda,negative
komentator lebay jijik cuihh,positive
titip komentar sejarah indonesia versus arab saudi jejak digital sejarah sepakbola indonesia orang orang,negative
stadion gaboleh ngerokok tv ambil sponsor rokok acara olahraga,positive
main arab kayak prindapan sih,negative
inti peluang buang benah stariker karna timnas udah kuat bet tinggal stariker murni oratmangun dicandagkanbsaja ole romeny karna lawan indonesia stariker tajam,positive
trendingkan nomer youtube,negative
main kayak gin konsisten lang lang loncat jauhh moga konsisten benah,negative
gin rcti ft bareng bareng nyimak nyanyi main muterin stadion rcti pancen oke,positive
nitip jejak sejarah,negative
witan egy untung main dua kelas seasia tenggara,positive
mancini tonton tertawa nikmat uang sangon arab,positive
marselino tenang menang anda peluang matang jadi gol alhamdulillah indonesia lolos piala dunia,positive
marcrelino bintang juara,positive
lihat indonesia sllu mndapat peluang sklipun lawan jpn kesimpulanya tim hny butuh poles mncapai level,positive
mantap timmas aing chemistry serang gempur arab saudi moga konsisten iya allah biar rezeki piala dunia,positive
manstab wan abud pulang bawa kalah,negative
standings teams pts gd japan indonesia australia saudi arabia bahrain china pr beranda andai timnas menang lwn bahrain menang lwn china timnas top nih smpai pekan rank fifa timnas iya,positive
gasspooll indonesia ku,positive
admin dukung timnas kalh menang nyinyir tetep dukung timnas namnya bola kalh menang,positive
bagus banget,positive
andai kemarin menang lawan bahrain china indonesia lolos pildun,negative
insya allah lanjut garuda menang,positive
highlight seems refree low quality couple bad decisions favour arabs saudi past asia powerhouse anymore marcelino best player got,negative
calvin verdonk tenaga badak gilaa capek,negative
rafael struk payah banget eksekusi,negative
justin hubner nyala alhamdulillah timnas indonesia menang,positive
jersey putih hoki,neutral
salpok gol bek arab putar blok putar putar wow kacang marsel,positive
gila cengg marceng cosplay cristiano ronaldo,negative
waduuh hubner absen laga donk,negative
marselino ajar salah finishing keren akurasi gawang power goal bukti kencang masuk gokil nicee,positive
anyyiirt arab saudi bobol gawang indonesia sial arab,negative
alhamdulillah iya robb,positive
awokwok mas justin mas justin dna sergio ramos,positive
bangke kemaren suruh sty neng tag orang donk,negative
hayoo kemarin hujat lino pda mana hujat puji,positive
mancini tertawa,positive
alhamdulillah point tangan,positive
alhamdulillah congrats bravo timnas indonesia,positive
alkhamdulilah yaa allah congratulations timnas indonesia,positive
menang indonesia lawan arab saudi tutup hina kalah lawan jepang malu,negative
untung arab striker optimal peluang kena bantai masuk goal,positive
nyala tanah air ku,positive
lucu iya indonesia,positive
langgar kartu sih,positive
bangga menang sedih klah karna asa adu skill jiwa pahlawan menang klh pake jasa joki beda hal lahir tanah sejarah keringat darah asli juang sejarah disna bawa kesini,negative
komentator lebay jijik iya mute komentator live,positive
highlight jos kaya tv belah,positive
wasit mantab,positive
pesan netizen supporter musim menang dukung gila kalah caci maki bikin beban menang kalah timnas indonesia bangkit garuda,negative
alhamdulillah menang,positive
timnas pake jersey warna merah,positive
marcelino udah tenang depan gawang keren,positive
tau ank ntt pung kepala batu,negative
optimis lolos round,positive
jersey warna putih pakai timnas menang nasib,negative
warga maleasy suka komentar parkir bus parkir bus andai timnas ktemu timnas skrg cuman sih,positive
teriak gool loe kali teriak sok tau komentator kondor,negative
beda marcelino skrang tenang finishing,positive
thank timnas players sty erick hard work respect hope good condition performance next match march,positive
tom haye masuk menit iya,positive
alhamdulillah mantapp timnass optimis lolos piala dunia,positive
verdonk lb maju kanan assist marcelino main main spartan keren selamat timnas garuda mantap,positive
syukur alhamdulillah indonesia tambah poin semangat timnas garuda,positive
harap masuk pildun,positive
sejarah indonesia menang versus arab,positive
nyala indonesia terima kasih,positive
jersey putih emng ngaruh,negative
jayalh china tukang cat,negative
komentator norakk kampungann berisiikk komentator didik,negative
indogotowordcup komentator indo bawa agama pribadi komentator ceramah masjid,negative
saleh cedera untung,positive
bantu wasit maen drama nyari pinalty banget tendangn bebas langsung kalah pantes arab saing lolos world cup kualitas bantu wasit notabene banyak timur pas word cup mati ketemu wasit eropa afrika bayar hahahha,negative
menang hoki sih,positive
menang puji besuk kalah mari hujat,negative
arab aneh arab negro,negative
great rcti,positive
struick maksimal,positive
main team solid sty,positive
alhamdulillah moga timnas indonesia main bagus tanding amin,positive
blng stybpenuh taktik koar sty bngsat mmng sty indo smpai titik enteng skli mnta ganti latih,negative
mntpp,positive
selamat timnas garuda bukti indonesia peluang lolos pildun gol marselino liat udah matang ngambil putus tenang pikir bola tendang mana marselino gesa cetak gol,positive
nama pesta rakyat bravo timnas,positive
waw,positive
nyesekk,negative
hrs ancam main ranking isi squad garuda tara ranking kualitas main sejajar australia arab bahrain china umpan serang kes bosan pressing ketat kontak fisik hilang bola bayang bayang serang sayap sambut tengah bingung mo umpan mana krena teman sambut lok laga main malam meskpun hrs kalah supporter bangga hibur,negative
three point,positive
sty kritik pas lawan jepang langsung benah hasil menang bobol keren,negative
lolos piala dunia banyak doa iya lekk main bnyak usaha doa nonton doa dukung doa dar mulut iya lekk hati hati timnas lolos piala dunia go indonesia doa usaha,positive
gtu main loyo,positive
sty bukti mampu pikir,negative
indonesia menang lawan arab ngalahin arab teriak sty sehat,negative
towel etik,positive
indonesia sepele,positive
struik marselino main muda tenaga skill,positive
gin dlu iya lawan china otak atik,negative
ggwp,positive
marcelino selebrasi tutup kuping bungkam haters fomo berisik main muda kala main egois wajar support biar kembang dewasa main bola,positive
mujur tanding asai arab,positive
menang sanjung kalah hujat,negative
hat trick lini,positive
buang srike,positive
justin hubner nyala,positive
keren rcti reel rakyat indonesia baik rcti sukses sllu,positive
kuota haji rang,positive
mantap marselino,positive
keren banget main timnas kobar kobar semngatnya selamat timnasku tetap main jumpa bahrain maret,positive
gilaa jam udah juta tonton lanjut rcti moga jaya,negative
maaf malasia iri iya,negative
indonesia dominasi main,positive
titik darah habis kasi lihat main udah lelah lari pincang pincang salutt main,negative
bener koci marselino marselino,positive
bek suka banget farming kartu wasit brp wasit beliau klaim kartu kuning laga hubner kartu merah emosi latih dek,positive
herve renard latih kalah argentina tunduk lesu gbk,negative
alhamdulillah shintaeyong pecat,negative
nyadar timnas pake baju putih main apik abstrak,negative
arab saudi salah latih emang indonesia keren,negative
mage tempuk isis saiki,positive
musuh arab arab,negative
congrates marceengg km biaasaa selamat indonesiakuu terima kasih rcti,positive
iok mulo muhammad,positive
trandingkan guyss,negative
kayak pecat latih arab saudi,negative
larene akale gedi heng podo bien mane islam utuh ngampangne teliti digu kasih allah,negative
dingin kejam,neutral
haru banget jaya indonesia,positive
hubner beast biar kartu merah beast,positive
main indo mahal tendang keras jarak iya mulut gawang cipta goal,negative
komentar saksi sejarah timnas indonesia,positive
parah wasit coba sebenernya tribun diteriakin fans mafia tiup peluit hubner kartu tuh main arab main hubner jaga reaksi drama khas arab bikin hubner kartu kuning,negative
hidup barang wasitt,negative
gol sombong,negative
omong komentator,negative
alhamdulillah semangat timnas garuda seru deg nontonnya,positive
rosululoh ojok pati,negative
tlg ganti komentator norak,negative
ganti latih tuh lihat arab saudi rubah apa,positive
garnaco versi indonesia marcelino,positive
komentar inti bangga timnas indonesia,positive
bangga baya surabaya salam bonek indonesia,positive
pas menang ja ngmng gtu kemarin kalah jepang bilang pecat sty,negative
alhamdulillah menang kemaren lawan jepang emang kuat lini menang lawan arab bukti sty timnas indonesia,positive
gol calvin verdonk sprint gol cantik juang mlm de best,positive
verdonk carvajal stamina habis mantap,positive
rumput gbk,negative
si tengil gelagar nyala lho lino wkwkwkwkwk,negative
marcelino bukti layak jadi starter timnas lawan jepang main masuk line moga langkah timnas lolos parah komentator orang jual obat kaki,negative
sia sia kuota habis,negative
rafael chip goll,positive
kualitas kayak gimana yah banding indosiar,positive
puji syukur tolong tuhan konsolidasi timnas indonesia hasil positif poin timnas arab saudi cetak marcelino ferdinan full time moga indonesia oleh hasil positif laga lead lawan timnas baharain cina australia jepang,positive
alhamdulillah dapet poin,positive
besok tanggal,positive
komentator ndeso,positive
manah tuh komentator kritik kemaren lawan jepang nongol puji sty pssi fair bor,negative
